"id","name","quality","address","phone","uid","lat","long","type","licence","expiration","administrator","capacity","ages","inspector","subsidiary","facility_id","inspections","inspection_first","inspection_last","inspection_shsi","inspection_complicant","inspection_violation","age_min","age_max"
47192,"2B Successful Youth",NA,"701 Patton Street, DANVILLE, VA  24541","(434) 835-2997","47192_6574258ab06b9f45d79d60209c05a11e",36.5849499807623,-79.3938450326183,"Child Day Center","Two Year","March 28, 2024"," Cynthia  Phillips",18,"5 years - 12 years 11 months","Rebecca  Forestier:  (540) 309-2835","Yes",1109056,6,"Sept. 20, 2021","Nov. 14, 2022",2,0,3,5,12
35291,"4 Rs Preschool",NA,"6745 Jefferson Street, HAYMARKET, VA  20169-2903","(703) 754-2497","35291_172fccc0f95b3e8b9f4ca359413f2c04",38.8103556674022,-77.6364096336236,"Child Day Center","Two Year","Feb. 24, 2023","Ms. Stephanie  Peacock",26,"3 years - 6 years 11 months","Morgan  Bryson:  (540) 270-0057","No",1106312,9,"April 19, 2018","Sept. 12, 2022",0,0,3,3,6
45288,"A Child's Day Learning Center",NA,"1601 Todds Lane, HAMPTON, VA  23666","(757) 826-8759","45288_135cfb7b72928bba37e079495ca9ca19",37.0393490032476,-76.4133789839285,"Child Day Center","Two Year","Dec. 23, 2023"," Mark  Cooper",66,"1 month - 12 years 11 months","Tiffany  Harris:  (757) 403-3045","Yes",1108585,17,"Aug. 15, 2019","Jan. 6, 2023",7,1,8,0,12
46940,"A Child's Dream Daycare Center",NA,"Suite 120, VIRGINIA BEACH, VA  23455","(757) 937-1043","46940_76c28a705336f516c339cc83919b94c6",36.868475,-76.13548,"Child Day Center","Two Year","Sept. 14, 2023","Ms. Ebony  Staton",86,"1 month - 12 years ","Heather  Harrell:  (757) 334-4329","Yes",1108983,7,"Feb. 25, 2021","June 23, 2022",3,0,2,0,12
8228,"A Child's Place",NA,"3100 Prosperity Avenue, FAIRFAX, VA  22031","(703) 698-8050","8228_90000bc867b78da7d0ff5bf8c6b949c7",38.8646626467186,-77.2412361750571,"Child Day Center","Two Year","June 29, 2023","Ms. Leigh  Bibb",125,"2 months - 6 years 11 months","Lisa  Hudson:  (571) 389-2459","No",10375,12,"June 12, 2018","Dec. 3, 2019",0,1,7,0,6
12068,"A Child's Place Preschool & Child Care Centers Lucks Lane Campus",NA,"1211 Walton Bluff Parkway, MIDLOTHIAN, VA  23114","(804) 379-7632","12068_b06e52134710c4f24c0a0cc0a883a800",37.4707360134789,-77.6326830394718,"Child Day Center","Two Year","Aug. 24, 2024","Ms. Denise B. Mcdonald",291,"1 month - 12 years 11 months","Tara  Barton:  (804) 381-8487","No",630383,15,"Jan. 22, 2018","Aug. 31, 2022",0,3,1,0,12
34888,"A Child's Place Preschool & Child Care Centers-Ridgefield Campus",NA,"11155 Ridgefield Parkway, HENRICO, VA  23233","(804) 740-1022","34888_d1764c1e0bcf03b186f0a64a29e17bca",37.6234019862597,-77.6373289607639,"Child Day Center","Two Year","Feb. 3, 2023","Ms Denise B Mcdonald",141,"1 month - 12 years 11 months","Tara  Barton:  (804) 381-8487","No",1106233,11,"June 1, 2018","Nov. 2, 2022",0,1,0,0,12
8679,"A Child's Place at Hollin Hall",NA,"1500 Shenandoah Road, ALEXANDRIA, VA  22308","(703) 765-8811","8679_23e107788a882c27358ef3d413850c43",38.7421370338379,-77.0583740608107,"Child Day Center","Two Year","March 29, 2023","Ms. Jill  Levy",172,"2 years - 12 years 11 months","Tanya  Johnson:  (571) 423-6392","No",30911,11,"Feb. 13, 2018","July 14, 2022",0,1,10,2,12
35727,"A Heavenly Haven Learning Center",2,"15435 Warwick Boulevard, #L, NEWPORT NEWS, VA  23608","(757) 369-6082","35727_6d71c1222a15c5e4225edcb2f32b9561",37.1516540167628,-76.5552039707802,"Child Day Center","Two Year","March 2, 2023","Ms. Juanita D. Brown",83,"1 month - 12 years 11 months","Tiffany  Harris:  (757) 403-3045","Yes",1106433,29,"July 31, 2018","Nov. 29, 2022",9,1,17,0,12
26334,"A Little Peace of Mind Daycare and Learning Center, Inc.",NA,"100 Arboretum Place, NORTH CHESTERFIELD, VA  23236","(804) 330-5025","26334_4a57efdf860510c6070de578953a0218",37.4959530110918,-77.5679739925861,"Child Day Center","Two Year","Nov. 19, 2023","Mrs. Justine  Johnson",125,"Birth - 12 years 11 months","Tara  Barton:  (804) 381-8487","Yes",1101967,25,"Feb. 20, 2018","June 16, 2022",10,3,11,0,12
26308,"A Little Piece of Heaven Day Care",NA,"3500 New Kent Highway, QUINTON, VA  23141","(804) 932-4222","26308_f44dbdc5ba584ff7406f265322293dac",37.5285200157801,-77.1634129701012,"Child Day Center","Two Year","Feb. 2, 2024","Ms. Connie  Terry",70,"1 month - 12 years 11 months","Michele  Patchett:  (757) 439-6816","No",1101533,11,"April 17, 2018","Oct. 13, 2022",0,0,4,0,12
44978,"A New World of Learning LLC Bilingual Academy",1,"1640 Michigan Avenue, VIRGINIA BEACH, VA  23454","(757) 756-4274","44978_8c737734d6768c97dfd58518acc5a3b7",36.8418349869744,-76.0197189617994,"Child Day Center","Two Year","May 31, 2023","Ms. Lillian  Tejada",30,"1 year - 12 years 11 months","Adrianna  Walden:  (757) 404-2487","Yes",1108512,11,"Nov. 20, 2018","Oct. 11, 2022",1,0,9,1,12
44676,"A Plus Kids Fun and Creative Learning Center LLC",NA,"925 North Garfield Street, Suite D, ARLINGTON, VA  22201","(571) 312-1912","44676_212520922012c0eb099aae9b75b69030",38.8838670118171,-77.0931079970175,"Child Day Center","Two Year","March 4, 2023"," Ana  Benavides",84,"2 months - 5 years 11 months","Stephanie  Salvatori:  (571) 389-0980","No",1108428,9,"Aug. 31, 2018","Nov. 28, 2022",0,0,1,0,5
44873,"A Rising Star Child Care LLC",NA,"7617 Little River Turnpike, ANNANDALE, VA  22003","(571) 282-4204","44873_a9ae0494e249515d929044e1f467fe1e",38.8319459412396,-77.2097204705746,"Child Day Center","Two Year","May 28, 2023"," Rohina  Nasher",88,"2 months - 6 years 11 months","Nancy  Radcliffe:  (703) 268-3728","No",1108482,13,"Nov. 14, 2018","July 2, 2019",0,2,5,0,6
24667,"A+ Childcare & Learning Center",NA,"3510 George Washington Memorial Hwy, YORKTOWN, VA  23693","(757) 867-8003","24667_7027c49505c61f65b9a31898a4f97b26",37.1323929899989,-76.4576419705793,"Child Day Center","Two Year","Sept. 13, 2024","Ms. Cathy  Larsen",177,"1 month - 12 years 11 months","Christine  Mahan:  (757) 404-0568","No",1079666,15,"March 1, 2018","Aug. 23, 2022",3,2,6,0,12
25255,"ACAC Adventure Central Kidzclub",NA,"200 Four Seasons Drive, CHARLOTTESVILLE, VA  22901","(434) 978-7529","25255_87e4942f0207e3ab02ce8145fde7cd95",38.0808619959656,-78.4855250075858,"Child Day Center","Two Year","Oct. 7, 2024","Ms. Ashlie  Crouch",330,"3 years - 12 years 11 months","Michelle  Argenbright:  (540) 848-4123","No",1087529,10,"March 27, 2018","Sept. 29, 2022",0,0,4,3,12
46084,"ACAC Crozet Park",NA,"1075 Claudius Crozet Park, CROZET, VA  22932","(434) 817-2063","46084_1af2c2d339c90a07833cc9f55b47b7ca",38.0646930113736,-78.6943540064126,"Child Day Center","Two Year","Dec. 7, 2022"," Mason  Thompson",70,"4 years - 12 years 11 months","Michelle  Argenbright:  (540) 848-4123","No",1108771,10,"March 17, 2020","Nov. 17, 2022",0,2,3,4,12
8276,"ACCA Child Development Center",4,"and 4175 Daniels Avenue, ANNANDALE, VA  22003","(703) 256-0100","8276_057bd6dfeac52f9445c5b4a46de986e5",38.8325162040221,-77.1933283178105,"Child Day Center","Two Year","Nov. 1, 2024","Dr. Maria Isabel Ballivian",290,"Birth - 12 years 11 months","Maria  Robles-Lopez:  (703) 397-3827","Yes",12165,20,"Jan. 30, 2018","Oct. 25, 2022",9,1,7,0,12
16610,"ARLINGTON P&R- CARLIN HALL PS & TOT CAMP",NA,"5711 S. 4th Street, ARLINGTON, VA  22204","(703) 379-1390","16610_f82bdef3602fddc9dfd16c5b96ab8904",38.8631889824118,-77.1261499622493,"Child Day Center","Two Year","Aug. 31, 2023","Ms. Carly  Moser",20,"3 years - 5 years 11 months","Ann  Dramstad:  (703) 314-0860","No",861757,10,"Jan. 26, 2018","July 18, 2022",0,0,5,3,5
22501,"Abida Mufti",NA,"2201 Hunter Mill Road, VIENNA, VA  22181","(703) 281-7860","22501_6e5ab343100a2cda34385be82e9aedd3",38.9189275488811,-77.3037976107112,"Family Day Home","One Year","April 5, 2023",NA,12,"Birth - 12 years 11 months","Ariel  Hayes:  (804) 629-7124","No",1042428,10,"March 8, 2018","Sept. 28, 2022",0,0,7,0,12
25469,"Abida Munir",NA,"1902 Sherwood Hall Lane, ALEXANDRIA, VA  22306","(703) 360-6783","25469_2980d51f23936a4f54af1e98f0a0b853",38.7488978769392,-77.0636701663321,"Family Day Home","Two Year","June 18, 2024",NA,12,"1 month - 5 years 11 months","Tanya  Johnson:  (571) 423-6392","No",1090449,8,"May 22, 2018","Nov. 16, 2022",0,0,3,0,5
13975,"Abingdon Child Development Center - Head Start",4,"152 Highland Street, ABINGDON, VA  24210","(276) 628-9932","13975_7425496a826440e8141f22539e4e41c5",36.7080230157394,-81.9694560216598,"Child Day Center","Two Year","June 30, 2024","Ms. Angie  Groseclose",60,"3 years - 5 years 11 months","Sara  Tallman:  (276) 608-3749","No",722800,10,"May 21, 2018","Dec. 2, 2022",0,0,3,3,5
29653,"Abingdon Child Development Center-Early Head Start",NA,"152 Highland Street, ABINGDON, VA  24210","(276) 628-4969","29653_7425496a826440e8141f22539e4e41c5",36.7080230157394,-81.9694560216598,"Child Day Center","Two Year","Dec. 27, 2024"," Angela  Groseclose",20,"Birth - 3 years 11 months","Sara  Tallman:  (276) 608-3749","No",1105376,14,"April 24, 2018","Dec. 2, 2022",0,0,3,0,3
8712,"Abracadabra Child Care & Development center",2,"700 Commonwealth Avenue, ALEXANDRIA, VA  22301","(703) 548-7796","8712_dc9b86b11eeb04b574bdd8dd987cdb21",38.8137810159539,-77.0625149724365,"Child Day Center","Two Year","Jan. 28, 2024","Ms. Courtney  Robinson",86,"20 months - 8 years 11 months","Nancy  Radcliffe:  (703) 268-3728","No",48852,11,"May 1, 2018","Nov. 14, 2022",0,2,8,0,8
37761,"Abundant Love Child Development Center",1,"1543 Holly Grove Drive, BUMPASS, VA  23024","(804) 556-6810","37761_eb271756542091dca52de4720810ae4e",37.7955079813467,-77.8189560015774,"Child Day Center","Two Year","Sept. 13, 2023","Ms. Francelia  Jackson",40,"1 month - 12 years 11 months","Kelly  Adriazola:  (804) 840-8245","Yes",1106861,20,"Feb. 20, 2018","Sept. 12, 2019",10,0,9,0,12
42096,"Abundant Love Learning Center - Louisa",1,"522 Industrial Drive, LOUISA, VA  23093","(540) 967-4427","42096_7f104e7a45d6f0df4454db613e95cd33",38.0131989987628,-77.9719529757146,"Child Day Center","Two Year","Jan. 17, 2023","Ms. Bessie P. Fortune",52,"Birth - 12 years 11 months","Kelly  Adriazola:  (804) 840-8245","Yes",1107996,23,"Feb. 15, 2018","Dec. 5, 2022",10,0,13,0,12
