geoid,year,measure,value,moe,Unnamed: 0
51760030100,2021,average_years_schooling,0.203,,1
51710004800,2021,average_years_schooling,0.244,,2
51760020200,2021,average_years_schooling,0.233,,3
51770002502,2021,average_years_schooling,0.264,,4
51710004200,2021,average_years_schooling,0.198,,5
51760030501,2021,average_years_schooling,0.512,,6
51760020100,2021,average_years_schooling,0.219,,7
51710004100,2021,average_years_schooling,0.21,,8
51730810100,2021,average_years_schooling,0.279,,9
51700030100,2021,average_years_schooling,0.325,,10
51740211800,2021,average_years_schooling,0.304,,11
51710003501,2021,average_years_schooling,0.309,,12
51003010904,2021,average_years_schooling,0.523,,13
51013101704,2021,average_years_schooling,0.772,,14
51013101408,2021,average_years_schooling,0.735,,15
51760020400,2021,average_years_schooling,0.259,,16
51740210500,2021,average_years_schooling,0.399,,17
51059451400,2021,average_years_schooling,0.163,,18
51760040300,2021,average_years_schooling,0.608,,19
51013102701,2021,average_years_schooling,0.426,,20
51760060800,2021,average_years_schooling,0.252,,21
51590000400,2021,average_years_schooling,0.279,,22
51730810600,2021,average_years_schooling,0.242,,23
51059451601,2021,average_years_schooling,0.0,,24
51730810700,2021,average_years_schooling,0.278,,25
51760010300,2021,average_years_schooling,0.314,,26
51510201206,2021,average_years_schooling,0.092,,27
51013103505,2021,average_years_schooling,0.734,,28
51700030600,2021,average_years_schooling,0.314,,29
51013103503,2021,average_years_schooling,0.774,,30
51760021000,2021,average_years_schooling,0.366,,31
51710005100,2021,average_years_schooling,0.324,,32
51650011400,2021,average_years_schooling,0.343,,33
51087200805,2021,average_years_schooling,0.242,,34
51013103602,2021,average_years_schooling,0.768,,35
51700030800,2021,average_years_schooling,0.263,,36
51760060900,2021,average_years_schooling,0.177,,37
51590000500,2021,average_years_schooling,0.281,,38
51013101603,2021,average_years_schooling,0.674,,39
51760070601,2021,average_years_schooling,0.07,,40
51700030400,2021,average_years_schooling,0.307,,41
51105950301,2021,average_years_schooling,0.227,,42
51740212100,2021,average_years_schooling,0.271,,43
51059461902,2021,average_years_schooling,0.172,,44
51800065500,2021,average_years_schooling,0.064,,45
51710000902,2021,average_years_schooling,0.466,,46
51760060700,2021,average_years_schooling,0.231,,47
51710002900,2021,average_years_schooling,0.38,,48
51800065100,2021,average_years_schooling,0.264,,49
51710001300,2021,average_years_schooling,0.388,,50
51710002700,2021,average_years_schooling,0.324,,51
51680001100,2021,average_years_schooling,0.317,,52
51680000600,2021,average_years_schooling,0.327,,53
51710004300,2021,average_years_schooling,0.381,,54
51041100406,2021,average_years_schooling,0.242,,55
51590001000,2021,average_years_schooling,0.273,,56
51710005701,2021,average_years_schooling,0.337,,57
51041100404,2021,average_years_schooling,0.071,,58
51770001000,2021,average_years_schooling,0.309,,59
51510201205,2021,average_years_schooling,0.458,,60
51595890100,2021,average_years_schooling,0.259,,61
51550020100,2021,average_years_schooling,0.361,,62
51013101804,2021,average_years_schooling,0.55,,63
51710002500,2021,average_years_schooling,0.453,,64
51620090200,2021,average_years_schooling,0.249,,65
51510200102,2021,average_years_schooling,0.45,,66
51121020301,2021,average_years_schooling,0.695,,67
51770002600,2021,average_years_schooling,0.29,,68
51013102001,2021,average_years_schooling,0.547,,69
51510200304,2021,average_years_schooling,0.505,,70
51760030200,2021,average_years_schooling,0.559,,71
51680000400,2021,average_years_schooling,0.381,,72
51510200106,2021,average_years_schooling,0.44,,73
51013101705,2021,average_years_schooling,0.724,,74
51510200108,2021,average_years_schooling,0.597,,75
51810045810,2021,average_years_schooling,0.366,,76
